"index","name","W1","W2"
1,"H hydrogen",1.080E-01,1.100E-01
2,"He helium",7.000E-12,7.200E-12
3,"Li lithium",1.800E-07,1.700E-07
4,"Be beryllium",5.600E-12,6.000E-13
5,"B boron",4.440E-06,4.400E-06
6,"C carbon",2.800E-05,2.800E-05
7,"N nitrogen",5.000E-07,1.600E-05
8,"O oxygen",8.570E-01,8.800E-01
9,"F fluorine",1.300E-06,1.300E-06
10,"Ne neon",1.200E-10,1.200E-10
11,"Na sodium",1.080E-02,1.100E-02
12,"Mg magnesium",1.290E-03,1.300E-03
13,"Al aluminium",2.000E-09,1.000E-09
14,"Si silicon",2.200E-06,2.900E-06
15,"P phosphorus",6.000E-08,8.800E-08
16,"S sulfur",9.050E-04,9.000E-04
17,"Cl chlorine",1.940E-02,1.900E-02
18,"Ar argon",4.500E-07,4.500E-07
19,"K potassium",3.990E-04,3.900E-04
20,"Ca calcium",4.120E-04,4.100E-04
21,"Sc scandium",6.000E-13,4.000E-12
22,"Ti titanium",1.000E-09,1.000E-09
23,"V vanadium",2.500E-09,1.900E-09
24,"Cr chromium",3.000E-10,2.000E-10
25,"Mn manganese",2.000E-10,1.900E-09
26,"Fe iron",2.000E-09,3.400E-09
27,"Co cobalt",2.000E-11,3.900E-10
28,"Ni nickel",5.600E-10,6.600E-09
29,"Cu copper",2.500E-10,2.300E-08
30,"Zn zinc",4.900E-09,1.100E-08
31,"Ga gallium",3.000E-11,3.000E-11
32,"Ge germanium",5.000E-11,6.000E-11
33,"As arsenic",3.700E-09,2.600E-09
34,"Se selenium",2.000E-10,9.000E-11
35,"Br bromine",6.730E-05,6.700E-05
36,"Kr krypton",2.100E-10,2.100E-10
37,"Rb rubidium",1.200E-07,1.200E-07
38,"Sr strontium",7.900E-06,8.100E-06
39,"Y yttrium",1.300E-11,1.300E-12
40,"Zr zirconium",3.000E-11,2.600E-11
41,"Nb niobium",1.000E-11,1.500E-11
42,"Mo molybdenum",1.000E-08,1.000E-08
43,"Tc technetium",0.000E+00,0.000E+00
44,"Ru ruthenium",7.000E-13,0.000E+00
45,"Rh rhodium",0.000E+00,0.000E+00
46,"Pd palladium",0.000E+00,0.000E+00
47,"Ag silver",4.000E-11,2.800E-10
48,"Cd cadmium",1.100E-10,1.100E-10
49,"In indium",2.000E-08,0.000E+00
50,"Sn tin",4.000E-12,8.100E-10
51,"Sb antimony",2.400E-10,3.300E-10
52,"Te tellurium",0.000E+00,0.000E+00
53,"I iodine",6.000E-08,6.400E-08
54,"Xe xenon",5.000E-11,4.700E-11
55,"Cs caesium",3.000E-10,3.000E-10
56,"Ba barium",1.300E-08,2.100E-08
57,"La lanthanum",3.400E-12,3.400E-12
58,"Ce cerium",1.200E-12,1.200E-12
59,"Pr praseodymium",6.400E-13,6.400E-13
60,"Nd neodymium",2.800E-12,2.800E-12
61,"Pm promethium",0.000E+00,0.000E+00
62,"Sm samarium",4.500E-13,4.500E-13
63,"Eu europium",1.300E-13,1.300E-13
64,"Gd gadolinium",7.000E-13,7.000E-13
65,"Tb terbium",1.400E-13,1.400E-12
66,"Dy dysprosium",9.100E-13,9.100E-13
67,"Ho holmium",2.200E-13,2.200E-13
68,"Er erbium",8.700E-13,8.700E-12
69,"Tm thulium",1.700E-13,1.700E-13
70,"Yb ytterbium",8.200E-13,8.200E-13
71,"Lu lutetium",1.500E-13,1.500E-13
72,"Hf hafnium",7.000E-12,8.000E-12
73,"Ta tantalum",2.000E-12,2.500E-12
74,"W tungsten",1.000E-10,1.000E-12
75,"Re rhenium",4.000E-12,0.000E+00
76,"Os osmium",0.000E+00,0.000E+00
77,"Ir iridium",0.000E+00,0.000E+00
78,"Pt platinum",0.000E+00,0.000E+00
79,"Au gold",4.000E-12,1.100E-11
80,"Hg mercury",3.000E-11,1.500E-10
81,"Tl thallium",1.900E-11,0.000E+00
82,"Pb lead",3.000E-11,3.000E-11
83,"Bi bismuth",2.000E-11,2.000E-11
84,"Po polonium",1.500E-20,0.000E+00
85,"At astatine",0.000E+00,0.000E+00
86,"Rn radon",6.000E-22,0.000E+00
87,"Fr francium",0.000E+00,0.000E+00
88,"Ra radium",8.900E-17,0.000E+00
89,"Ac actinium",0.000E+00,0.000E+00
90,"Th thorium",1.000E-12,1.500E-12
91,"Pa protactinium",5.000E-17,0.000E+00
92,"U uranium",3.200E-09,3.300E-09
93,"Np neptunium",0.000E+00,0.000E+00
94,"Pu plutonium",0.000E+00,0.000E+00
