Element,Atomic number,Abundance in urban soils
Ag,47,0.37
Al,13,38200
As,33,15.9
B,5,45
Ba,56,853.12
Be,4,3.3
Bi,83,1.12
C,6,45100
Ca,20,53800
Cd,48,0.9
Cl,17,285
Co,27,14.1
Cr,24,80
Cs,55,5
Cu,29,39
Fe,26,22300
Ga,31,16.2
Ge,32,1.8
H,1,15000
Hg,80,0.88
K,19,13400
La,57,34
Li,3,49.5
Mg,12,7900
Mn,25,729
Mo,42,2.4
N,7,10000
Na,11,5800
Nb,41,15.7
Ni,28,33
O,8,490000
P,15,1200
Pb,82,54.5
Rb,37,58
S,16,1200
Sb,51,1
Sc,21,9.4
Si,14,289000
Sn,50,6.8
Sr,38,458
Ta,73,1.5
Ti,22,4758
Tl,81,1.1
V,23,104.9
W,74,2.9
Y,39,23.4
Yb,70,2.4
Zn,30,158
Zr,40,255.6
