Z,Name,"Average atomic mass","Electronegativity Pauling","First Ionization Energy (eV)",Radii-atom,Radii-vdw,Radii-covalent,"Valence electrons"
1,Hydrogen,1.007947,2.2,13.59844,25,120,38,1
2,Helium,4.0026022,None,24.58741,31,140,32,2
3,Lithium,6.9412,0.98,5.39172,145,182,134,1
4,Beryllium,9.0121823,1.57,9.3227,105,None,90,2
5,Boron,10.8117,2.04,8.29803,85,None,82,3
6,Carbon,12.01078,2.55,11.2603,70,170,77,4
7,Nitrogen,14.00672,3.04,14.53414,65,155,75,5
8,Oxygen,15.99943,3.44,13.61806,60,152,73,6
9,Fluorine,18.99840325,3.98,17.42282,50,147,71,7
10,Neon,20.100976,None,21.5646,38,154,69,8
11,Sodium,22.989769282,0.93,5.13908,180,227,154,1
12,Magnesium,24.30506,1.31,7.64624,150,173,130,2
13,Aluminium,26.98153868,1.61,5.98577,125,None,118,3
14,Silicon,28.08553,1.9,8.15169,110,210,111,4
15,Phosphorus,30.9737622,2.19,10.48669,100,180,106,5
16,Sulfur,32.0655,2.58,10.36001,100,180,102,6
17,Chlorine,35.4532,3.16,12.96764,100,175,99,7
18,Argon,39.9481,None,15.75962,71,188,97,8
19,Potassium,39.09831,0.82,4.34066,220,275,196,1
20,Calcium,40.0784,1,6.11316,180,None,174,2
21,Scandium,44.9559126,1.36,6.5615,160,None,144,2
22,Titanium,47.8671,1.54,6.8281,140,None,136,2
23,Vanadium,50.94151,1.63,6.7462,135,None,125,2
24,Chromium,51.99616,1.66,6.7665,140,None,127,1
25,Manganese,54.9380455,1.55,7.43402,140,None,139,2
26,Iron,55.8452,1.83,7.9024,140,None,125,2
27,Cobalt,58.9331955,1.91,7.6398,135,163,121,2
28,Nickel,58.69344,1.88,7.881,135,None,126,2
29,Copper,63.5463,1.9,7.72638,135,140,138,1
30,Zinc,65.382,1.65,9.3942,135,139,131,2
31,Gallium,69.7231,1.81,5.9993,130,187,126,3
32,Germanium,72.641,2.01,7.8994,125,None,122,4
33,Arsenic,74.921602,2.18,9.7886,115,185,119,5
34,Selenium,78.963,2.55,9.75238,115,190,116,6
35,Bromine,79.9041,2.96,11.81381,115,185,114,7
36,Krypton,83.7982,3,13.99961,88,202,110,8
37,Rubidium,85.46783,0.82,4.17713,235,None,211,1
38,Strontium,87.621,0.95,5.6949,200,None,192,2
39,Yttrium,88.905852,1.22,6.2171,180,None,162,2
40,Zirconium,91.2242,1.33,6.6339,155,None,148,2
41,Niobium,92.906382,1.6,6.75885,145,None,137,1
42,Molybdenum,95.962,2.16,7.09243,145,None,145,1
43,Technetium,98,1.9,7.28,135,None,156,1
44,Ruthenium,101.072,2.2,7.3605,130,None,126,1
45,Rhodium,102.905502,2.28,7.4589,135,None,135,1
46,Palladium,106.421,2.2,8.3369,140,163,131,
47,Silver,107.86822,1.93,7.5762,160,172,153,1
48,Cadmium,112.4118,1.69,8.9938,155,158,148,2
49,Indium,114.8183,1.78,5.78636,155,193,144,3
50,Tin,118.7107,1.96,7.3439,145,217,141,4
51,Antimony,121.7601,2.05,8.6084,145,None,138,5
52,Tellurium,127.603,2.1,9.0096,140,206,135,6
53,Iodine,126.904473,2.66,10.45126,140,198,133,7
54,Xenon,131.2936,2.6,12.1298,108,216,130,8
55,Caesium,132.90545192,0.79,3.8939,260,None,225,1
56,Barium,137.3277,0.89,5.2117,215,None,198,2
57,Lanthanum,138.905477,1.1,5.5769,195,None,169,2
58,Cerium,140.1161,1.12,5.5387,185,None,None,2
59,Praseodymium,140.907652,1.13,5.473,185,None,None,2
60,Neodymium,144.2423,1.14,5.525,185,None,None,2
61,Promethium,145,None,5.582,185,None,None,2
62,Samarium,150.362,1.17,5.6436,185,None,None,2
63,Europium,151.9641,None,5.6704,185,None,None,2
64,Gadolinium,157.253,1.2,6.1501,180,None,None,2
65,Terbium,158.925352,None,5.8638,175,None,None,2
66,Dysprosium,162.5001,1.22,5.9389,175,None,None,2
67,Holmium,164.930322,1.23,6.0215,175,None,None,2
68,Erbium,167.2593,1.24,6.1077,175,None,None,2
69,Thulium,168.934212,1.25,6.18431,175,None,None,2
70,Ytterbium,173.0545,None,6.25416,175,None,None,2
71,Lutetium,174.96681,1.27,5.4259,175,None,160,2
72,Hafnium,178.492,1.3,6.82507,155,None,150,2
73,Tantalum,180.947882,1.5,7.5496,145,None,138,2
74,Tungsten,183.841,2.36,7.864,135,None,146,2
75,Rhenium,186.2071,1.9,7.8335,135,None,159,2
76,Osmium,190.233,2.2,8.4382,130,None,128,2
77,Iridium,192.2173,2.2,8.967,135,None,137,2
78,Platinum,195.0849,2.28,8.9587,135,175,128,1
79,Gold,196.9665694,2.54,9.2255,135,166,144,1
80,Mercury,200.592,2,10.4375,150,155,149,2
81,Thallium,204.38332,1.62,6.1082,190,196,148,3
82,Lead,207.21,2.33,7.41666,180,202,147,4
83,Bismuth,208.980401,2.02,7.2856,160,None,146,5
84,Polonium,209,2,8.417,190,None,None,6
85,Astatine,210,2.2,,None,None,None,7
86,Radon,222,None,10.7485,120,None,145,8
87,Francium,223,0.7,4.0727,None,None,None,1
88,Radium,226,0.9,5.2784,215,None,None,2
89,Actinium,227,1.1,5.17,195,None,None,2
90,Thorium,232.038062,1.3,6.3067,180,None,None,2
91,Protactinium,231.035882,1.5,5.89,180,None,None,2
92,Uranium,238.028913,1.38,6.19405,175,186,None,2
93,Neptunium,237,1.36,6.2657,175,None,None,2
94,Plutonium,244,1.28,6.0262,175,None,None,2
95,Americium,243,1.3,5.9738,175,None,None,2
96,Curium,247,1.3,5.9915,,,,2
97,Berkelium,247,1.3,6.1979,,,,2
98,Californium,251,1.3,6.2817,,,,2
99,Einsteinium,252,1.3,6.42,,,,2
100,Fermium,257,1.3,6.5,,,,2
101,Mendelevium,258,1.3,6.58,,,,2
102,Nobelium,259,1.3,6.65,,,,2
103,Lawrencium,266,1.3,4.9,,,,3
104,Rutherfordium,267,,6,,,,
105,Dubnium,268,,,,,,
106,Seaborgium,269,,,,,,
107,Bohrium,270,,,,,,
108,Hassium,277,,,,,,
109,Meitnerium,278,,,,,,
110,Darmstadtium,281,,,,,,
111,Roentgenium,282,,,,,,
112,Copernicium,285,,,,,,
113,Nihonium,286,,,,,,
114,Flerovium,289,,,,,,
115,Moscovium,290,,,,,,
116,Livermorium,293,,,,,,
117,Tennessine,294,,,,,,
118,Oganesson,294,,,,,,
