"Z","Symbol","Element","Origin of name","Group","Period","Atomic weight (u ±)","Density (g/cm3)","Melt (K) ","Boil (K)","C (J/gK)","χ","Abundance in Earth's crust (mg/kg) "
1,"H","Hydrogen","composed of the Greek elements *hydro-* and *-gen* meaning 'water-forming'",1,1,1.008,0.00008988,14.01,20.28,14.304,2.2,1400
2,"He","Helium","the Greek *helios*, 'sun'",18,1,4.0026022,0.0001785,"None",4.22,5.193,"None",0.008
3,"Li","Lithium","the Greek *lithos*, 'stone'",1,2,6.94,0.534,453.69,1560,3.582,0.98,20
4,"Be","Beryllium","beryl, a mineral",2,2,9.01218315,1.85,1560,2742,1.825,1.57,2.8
5,"B","Boron","borax, a mineral",13,2,10.81,2.34,2349,4200,1.026,2.04,10
6,"C","Carbon","the Latin *carbo*, 'coal'",14,2,12.011,2.267,3800,4300,0.709,2.55,200
7,"N","Nitrogen","the Greek *nitron* and '-gen' meaning 'niter-forming'",15,2,14.007,0.0012506,63.15,77.36,1.04,3.04,19
8,"O","Oxygen","from the Greek *oxy-*, both 'sharp' and 'acid', and *-gen*, meaning 'acid-forming'",16,2,15.999,0.001429,54.36,90.2,0.918,3.44,461000
9,"F","Fluorine","the Latin *fluere*, 'to flow'",17,2,18.9984031636,0.001696,53.53,85.03,0.824,3.98,585
10,"Ne","Neon","the Greek *neos*, meaning 'new'",18,2,20.17976,0.0008999,24.56,27.07,1.03,"None",0.005
11,"Na","Sodium","the English word *soda* *natrium* in Latin",1,3,22.989769282,0.971,370.87,1156,1.228,0.93,23600
12,"Mg","Magnesium","Magnesia, a district of Eastern Thessaly in Greece",2,3,24.305,1.738,923,1363,1.023,1.31,23300
13,"Al","Aluminium","from *alumina*, a compound originally *alumium*",13,3,26.98153857,2.698,933.47,2792,0.897,1.61,82300
14,"Si","Silicon","from the Latin *silex*, 'flint' originally *silicium*",14,3,28.085,2.3296,1687,3538,0.705,1.9,282000
15,"P","Phosphorus","the Greek *phoosphoros*, 'carrying light'",15,3,30.9737619985,1.82,317.3,550,0.769,2.19,1050
16,"S","Sulfur","the Latin *sulphur*, 'fire and brimstone'",16,3,32.06,2.067,388.36,717.87,0.71,2.58,350
17,"Cl","Chlorine","the Greek *chloros*, 'greenish yellow'",17,3,35.45,0.003214,171.6,239.11,0.479,3.16,145
18,"Ar","Argon","the Greek *argos*, 'idle'",18,3,39.9481,0.0017837,83.8,87.3,0.52,"None",3.5
19,"K","Potassium","New Latin *potassa*, 'potash' *kalium* in Latin",1,4,39.09831,0.862,336.53,1032,0.757,0.82,20900
20,"Ca","Calcium","the Latin *calx*, 'lime'",2,4,40.0784,1.54,1115,1757,0.647,1,41500
21,"Sc","Scandium","*Scandia*, the Latin name for Scandinavia",3,4,44.9559085,2.989,1814,3109,0.568,1.36,22
22,"Ti","Titanium","Titans, the sons of the Earth goddess of Greek mythology",4,4,47.8671,4.54,1941,3560,0.523,1.54,5650
23,"V","Vanadium","Vanadis, an Old Norse name for the Scandinavian goddess Freyja",5,4,50.94151,6.11,2183,3680,0.489,1.63,120
24,"Cr","Chromium","the Greek *chroma*, 'color'",6,4,51.99616,7.15,2180,2944,0.449,1.66,102
25,"Mn","Manganese","corrupted from *magnesia negra*, see Magnesium",7,4,54.9380443,7.44,1519,2334,0.479,1.55,950
26,"Fe","Iron","English word *ferrum* in Latin",8,4,55.8452,7.874,1811,3134,0.449,1.83,56300
27,"Co","Cobalt","the German word *Kobold*, 'goblin'",9,4,58.9331944,8.86,1768,3200,0.421,1.88,25
28,"Ni","Nickel","from a mischievous sprite of German miner mythology, Nickel",10,4,58.69344,8.912,1728,3186,0.444,1.91,84
29,"Cu","Copper","English word Latin *cuprum*",11,4,63.5463,8.96,1357.77,2835,0.385,1.9,60
30,"Zn","Zinc","German word *Zinke* prong, tooth",12,4,65.382,7.134,692.88,1180,0.388,1.65,70
31,"Ga","Gallium","*Gallia*, the Latin name for France",13,4,69.7231,5.907,302.9146,2673,0.371,1.81,19
32,"Ge","Germanium","*Germania*, the Latin name for Germany",14,4,72.6308,5.323,1211.4,3106,0.32,2.01,1.5
33,"As","Arsenic","English word Latin *arsenicum*",15,4,74.9215956,5.776,1090,887,0.329,2.18,1.8
34,"Se","Selenium","the Greek *selene*, 'moon'",16,4,78.9718,4.809,453,958,0.321,2.55,0.05
35,"Br","Bromine","the Greek *bromos*, 'stench'",17,4,79.904,3.122,265.8,332,0.474,2.96,2.4
36,"Kr","Krypton","the Greek *kryptos*, 'hidden'",18,4,83.7982,0.003733,115.79,119.93,0.248,3,1.00E-04
37,"Rb","Rubidium","the Latin *rubidus*, 'deep red'",1,5,85.46783,1.532,312.46,961,0.363,0.82,90
38,"Sr","Strontium","Strontian, a small town in Scotland",2,5,87.621,2.64,1050,1655,0.301,0.95,370
39,"Y","Yttrium","Ytterby, Sweden",3,5,88.905842,4.469,1799,3609,0.298,1.22,33
40,"Zr","Zirconium","Persian *Zargun*, 'gold-colored'; German *Zirkoon*, 'jargoon'",4,5,91.2242,6.506,2128,4682,0.278,1.33,165
41,"Nb","Niobium","Niobe, daughter of king Tantalus from Greek mythology",5,5,92.906372,8.57,2750,5017,0.265,1.6,20
42,"Mo","Molybdenum","the Greek *molybdos* meaning 'lead'",6,5,95.951,10.22,2896,4912,0.251,2.16,1.2
43,"Tc","Technetium","the Greek *tekhnètos* meaning 'artificial'",7,5,98,11.5,2430,4538,"None",1.9,3.00E-09
44,"Ru","Ruthenium","*Ruthenia*, the New Latin name for Russia",8,5,101.072,12.37,2607,4423,0.238,2.2,0.001
45,"Rh","Rhodium","the Greek *rhodos*, meaning 'rose coloured'",9,5,102.905502,12.41,2237,3968,0.243,2.28,0.001
46,"Pd","Palladium","the then recently discovered asteroid Pallas, considered a planet at the time",10,5,106.421,12.02,1828.05,3236,0.244,2.2,0.015
47,"Ag","Silver","English word *argentum* in Latin",11,5,107.86822,10.501,1234.93,2435,0.235,1.93,0.075
48,"Cd","Cadmium","the New Latin *cadmia*, from King Kadmos",12,5,112.4144,8.69,594.22,1040,0.232,1.69,0.159
49,"In","Indium","*indigo*",13,5,114.8181,7.31,429.75,2345,0.233,1.78,0.25
50,"Sn","Tin","English word *stannum* in Latin",14,5,118.7107,7.287,505.08,2875,0.228,1.96,2.3
51,"Sb","Antimony","uncertain: perhaps from the Greek *anti*, 'against', and *monos*, 'alone', or the Old French *antimoine*, 'Monk's bane' *stibium* in Latin",15,5,121.7601,6.685,903.78,1860,0.207,2.05,0.2
52,"Te","Tellurium","Latin *tellus*, 'earth'",16,5,127.603,6.232,722.66,1261,0.202,2.1,0.001
